TITLE,AUTHORS,VENUE,BIBTEX,YEAR,PROJECTS_EXACT,PROJECT_CATEGORIES,NODES_EXACT,NODES_CATEGORIES,DATASOURCES,CITATIONS,CATEGORY,SUBCATEGORY
"Co-membership, networks ties, and knowledge flow: An empirical investigation controlling for alternative mechanisms",Gang Peng,Decision Support Systems,peng2019co,2019,308127,>100,Missing,Missing,Forge,0,Prediction,Project Outcomes
"Co-membership, Networks Ties, and OSS Success: An Investigation Controlling for Alternative Mechanisms for Knowledge Flow",Gang Peng;Feng George Yu;Yiqun Peng,HICSS,peng2018co,2018,308127,>100,Missing,Missing,Forge,0,Prediction,Project Outcomes
Codebook: discovering and exploiting relationships in software repositories,Andrew Begel;Yit P. Khoo;Thomas Zimmermann,ICSE,begel2010codebook,2010,NA,NA,NA,NA,ITS;VCS;Other,222,Collaboration Behavior,Problems
CodeSaw: A Social Visualization of Distributed Software Development,Eric Gilbert;Karrie Karahalios,HCI,gilbert2007codesaw,2007,5,2-5,Missing,Missing,ML;VCS,51,Tools,Tools
Collaboration in open-source projects: myth or reality?,Yuriy Tymchuk;Andrea Mocci;Michele Lanza,MSR,tymchuk2014collaboration,2014,1048,>100,832,101-1000,Forge,15,DSN Validity,DSN Validity
Collaboration patterns and the impact of distance on awareness in requirementscentred social networks,Daniela Damian;Sabrina Marczak;Irwin Kwan,RE,damian2007collaboration,2007,Missing,Missing,9,1-10,Survey;Other,107,Collaboration Behavior,Global SWE
Communication and personality profiles of global software developers,Sherlock A. Licorish;Stephen G. MacDonell,Information and Software Technology,licorish2015communication,2015,1,1,146,101-1000,ITS,34,Developer Roles,Identification
Communication Networks in an Open Source Software Project,Jeffrey Robertsa;Il-Horn Hann;Sandra Slaughter,OSS,robertsa2006communication,2006,1,1,453,101-1000,ML,38,Community Structure,General
Communication networks in geographically distributed software development,Marcelo Cataldo;James D. Herbsleb,CSCW,cataldo2008communication,2008,1,1,114,101-1000,Other,100,Collaboration Behavior,Global SWE
Communication patterns in geographically distributed software development and engineers' contributions to the development effort,Marcelo Cataldo;James D. Herbsleb,CHASE,cataldo2008communication1,2008,2,2-5,Missing,Missing,ITS;Survey;Other,40,Community Structure,Global SWE
Community Dynamics in Open Source Software Projects: Aging and Social Reshaping,Anna Hannemann;Ralf Klamma,OSS,hannemann2013community,2013,3,2-5,5507,1001-10000,ML;VCS,13,Community Structure,DSN Evolution
Community structure of modules in the Apache project,Joseph Feller;Brian Fitzgerald;Scott Hissam;Karim Lakhani,Workshop on Open Source Software Engineering,gonzalez2004community,2004,1,1,Missing,Missing,VCS,63,Community Structure,General
Converging Work-Talk Patterns in Online Task-Oriented Communities,Qi Xuan;Premkumar Devanbu;Vladimir Filkov,PLOS ONE,xuan2016converging,2016,14,11-100,1083,1001-10000,ML,11,Collaboration Behavior,Problems
Coordination implications of software architecture in a global software development project,Alberto Avritzer;Daniel Paulish;Yuanfang Cai;Kanwarpreet Sethi,JSS,avritzer2010coordination,2010,1,1,15,11-100,Survey,81,Community Structure,Global SWE
Core and Periphery in Free/Libre and Open Source Software Team Communications,Kevin Crowston;Kangning Wei;Qing Li;James Howison,HICSS,crowston2006core,2006,116,>100,Missing,Missing,ITS,204,Developer Roles,Identification
Correlating temporal communication patterns of the Eclipse open source community with performance and creativity,Yared H. Kidane;Peter A. Gloor,Computational and Mathematical Organization Theory,kidane2007correlating,2007,3,2-5,Missing,Missing,ML,129,Community Structure,General
DECOBA: Utilizing Developers Communities in Bug Assignment,Shadi Banitaan;Mamdouh Alenezi,ICMLA,banitaan2013decoba,2013,3,2-5,97,11-100,ITS,5,Prediction,Bug Triage
Defect prediction using social network analysis on issue repositories,Serdar Bicer;Ayse B. Bener;Bora Caglayan,ICSSP,biccer2011defect,2011,2,2-5,Missing,Missing,ITS;VCS,29,Prediction,Defect Prediction
"Design architecture, developer networks and performance of open source software projects",Xiang Liu;Bala Iyer,ICIS,liu2007design,2007,200,>100,6000,1001-10000,Forge,19,Prediction,Project Outcomes
Determining developers' expertise and role: A graph hierarchy-based approach,Pamela Bhattacharya;Iulian Neamtiu;Michalis Faloutsos,ICSM(E),bhattacharya2014determining,2014,2,2-5,14071,10001-100000,ITS;VCS,17,Developer Roles,Identification
Developer Heterogeneity and Formation of Communication Networks in Open Source Software Projects,Param Singh;Yong Tan,Journal of Management Information Systems,singh2010developer,2010,3,2-5,Missing,Missing,ML;VCS,45,Community Structure,Team Formation
Developer initiation and social interactions in OSS: A case study of the Apache Software Foundation,Mohammad Gharehyazie;Daryl Posnett;Bogdan Vasilescu;Vladimir Filkov,EMSE,gharehyazie2015developer,2015,6,6-10,969,101-1000,ML,36,Developer Roles,Onboarding
Developer prioritization in bug repositories,Jifeng Xuan;He Jiang;Zhilei Ren;Weiqin Zou,ICSE,xuan2012developer,2012,2,2-5,90000,10001-100000,ITS,151,Prediction,Bug Triage
Developer Role Evolution in Open Source Software Ecosystem: An Explanatory Study on GNOME,Can Cheng;Bing Li;Zeng-Yang Li;Yu-Qi Zhao;Feng-Ling Liao,Journal of Computer Science and Technology,cheng2017developer,2017,1418,>100,Missing,Missing,VCS,3,Developer Roles,Onboarding
DevNet: Exploring Developer Collaboration in Heterogeneous Networks of Bug Repositories,Song Wang;Wen Zhang;Ye Yang;Qing Wang,ESEM,wang2013devnet,2013,2,2-5,"90,000",10001-100000,ITS,16,Prediction,Bug Triage
Do Developers Introduce Bugs When They Do Not Communicate? The Case of Eclipse and Mozilla,Mario L. Bernardi;Gerardo Canfora;Giuseppe A. Di Lucca;Massimiliano Di Penta;Damiano Distante,CSMR,bernardi2012developers,2012,2,2-5,252000,>100000,ITS;VCS,17,Collaboration Behavior,Problems
Does distance still matter,Timo Wolf;Thanh H.D. Nguyen;Daniela Damian,Software Process: Improvement and Practice,wolf2008does,2008,1,1,151,101-1000,ITS,43,Collaboration Behavior,Global SWE
Does Socio-Technical Congruence Have an Effect on Software Build Success? A Study of Coordination in a Software Project,Irwin Kwan;Adrian Schröter;Daniela Damian,TSE,kwan2011does,2011,1,1,151,101-1000,ITS;VCS,105,Community Structure,Socio-technical Congruence
Does the initial environment impact the future of developers?,Minghui Zhou;Audris Mockus,ICSE,zhou2011does,2011,6,6-10,11250,10001-100000,ITS,55,Developer Roles,Onboarding
DREX: Developer Recommendation with K-Nearest-Neighbor Search and Expertise Ranking,Wenjin Wu;Wen Zhang;Ye Yang;Qing Wang,APSEC,wu2011drex,2011,1,1,481,101-1000,ITS,86,Prediction,Bug Triage
Effect of developer collaboration activity on software quality in two large scale projects,Bora Caglayan;Ayse B. Bener,JSS,ccaglayan2016effect,2016,2,2-5,Missing,Missing,VCS,10,Community Structure,Impact on Code Quality
"Effect of Temporal Collaboration Network, Maintenance Activity, and Experience on Defect Exposure",Andriy Miranskyy;Bora Caglayan;Ayse B. Bener;Enzo Cialini,ESEM,miranskyy2014effect,2014,1,1,Missing,Missing,VCS,9,Prediction,Defect Prediction
Emergence of developer teams in the collaboration network,Bora Caglayan;Ayse B. Bener;Andriy Miranskyy,Information Systems Research,caglayan2013emergence,2013,1,1,123,101-1000,Forge,15,Community Structure,Team Formation
Emergence of New Project Teams from Open Source Software Developer Networks: Impact of Prior Collaboration Ties,Jungpil Hahn;Jae Y. Moon;Chen Zhang,Information Systems Research,hahn2008emergence,2008,2349,>100,"170,741",>100000,Forge,296,Community Structure,Team Formation
